@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4, 72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250, 18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1, 4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1, 4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19, 75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1, 4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1, 2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@inputs StatusAccount, DurationMonth, CreditHistory, Purpose, CreditAmount, SavingsAccount, EmploymentSince, InstallmentRate, StatusAndSex, Guarantors, ResidenceSince, Property, Age, InstallmentPlans, Housing, NCredits, Job, NPeopleMain, Telephone, ForeignWorker
@outputs Customer
@data
A14, 12.0, A32, A43, 3059.0, A64, A74, 2, A91, A101, 4.0, A121, 61.0, A143, A152, 1.0, A172, 1, A191, A201, 1
A12, 30.0, A34, A40, 5234.0, A61, A71, 4, A94, A101, 2.0, A123, 28.0, A143, A152, 2.0, A174, 1, A191, A201, 2
A11, 24.0, A32, A43, 1282.0, A62, A73, 4, A92, A101, 2.0, A123, 32.0, A143, A152, 1.0, A172, 1, A191, A201, 2
A14, 24.0, A34, A43, 2424.0, A65, A75, 4, A93, A101, 4.0, A122, 53.0, A143, A152, 2.0, A173, 1, A191, A201, 1
A12, 24.0, A32, A41, 12579.0, A61, A75, 4, A92, A101, 2.0, A124, 44.0, A143, A153, 1.0, A174, 1, A192, A201, 2
A14, 9.0, A34, A40, 2134.0, A61, A73, 4, A93, A101, 4.0, A123, 48.0, A143, A152, 3.0, A173, 1, A192, A201, 1
A11, 10.0, A34, A40, 2241.0, A61, A72, 1, A93, A101, 3.0, A121, 48.0, A143, A151, 2.0, A172, 2, A191, A202, 1
A11, 6.0, A32, A42, 1374.0, A61, A73, 1, A93, A101, 2.0, A121, 36.0, A141, A152, 1.0, A172, 1, A192, A201, 1
A13, 12.0, A31, A43, 409.0, A64, A73, 3, A92, A101, 3.0, A121, 42.0, A143, A151, 2.0, A173, 1, A191, A201, 1
A13, 18.0, A32, A43, 2100.0, A61, A73, 4, A93, A102, 2.0, A121, 37.0, A142, A152, 1.0, A173, 1, A191, A201, 2
A11, 30.0, A34, A41, 6187.0, A62, A74, 1, A94, A101, 4.0, A123, 24.0, A143, A151, 2.0, A173, 1, A191, A201, 1
A11, 48.0, A34, A41, 6143.0, A61, A75, 4, A92, A101, 4.0, A124, 58.0, A142, A153, 2.0, A172, 1, A191, A201, 2
A14, 12.0, A32, A43, 2073.0, A62, A73, 4, A92, A102, 2.0, A121, 28.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A12, 24.0, A33, A42, 2333.0, A65, A72, 4, A93, A101, 2.0, A122, 29.0, A141, A152, 1.0, A172, 1, A191, A201, 1
A14, 18.0, A32, A41, 3378.0, A65, A73, 2, A93, A101, 1.0, A122, 31.0, A143, A152, 1.0, A173, 1, A192, A201, 1
A12, 36.0, A33, A40, 2225.0, A61, A75, 4, A93, A101, 4.0, A124, 57.0, A141, A153, 2.0, A173, 1, A192, A201, 2
A12, 12.0, A32, A43, 6468.0, A65, A71, 2, A93, A101, 1.0, A124, 52.0, A143, A152, 1.0, A174, 1, A192, A201, 2
A12, 48.0, A30, A49, 14421.0, A61, A73, 2, A93, A101, 2.0, A123, 25.0, A143, A152, 1.0, A173, 1, A192, A201, 2
A14, 36.0, A32, A46, 1819.0, A61, A73, 4, A93, A101, 4.0, A124, 37.0, A142, A153, 1.0, A173, 1, A192, A201, 2
A12, 54.0, A30, A49, 15945.0, A61, A72, 3, A93, A101, 4.0, A124, 58.0, A143, A151, 1.0, A173, 1, A192, A201, 2
A12, 20.0, A33, A41, 7057.0, A65, A74, 3, A93, A101, 4.0, A122, 36.0, A141, A151, 2.0, A174, 2, A192, A201, 1
A14, 36.0, A34, A40, 7855.0, A61, A73, 4, A92, A101, 2.0, A121, 25.0, A142, A152, 2.0, A173, 1, A192, A201, 2
A11, 12.0, A32, A43, 1680.0, A63, A75, 3, A94, A101, 1.0, A121, 35.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A12, 12.0, A34, A40, 2366.0, A63, A74, 3, A91, A101, 3.0, A123, 36.0, A143, A152, 1.0, A174, 1, A192, A201, 1
A11, 12.0, A32, A43, 701.0, A61, A73, 4, A94, A101, 2.0, A121, 40.0, A143, A152, 1.0, A172, 1, A191, A201, 1
A11, 36.0, A33, A46, 6887.0, A61, A73, 4, A93, A101, 3.0, A122, 29.0, A142, A152, 1.0, A173, 1, A192, A201, 2
A14, 6.0, A32, A43, 1346.0, A62, A75, 2, A93, A101, 4.0, A124, 42.0, A141, A153, 1.0, A173, 2, A192, A201, 1
A11, 9.0, A34, A45, 1288.0, A62, A75, 3, A93, A103, 4.0, A121, 48.0, A143, A152, 2.0, A173, 2, A191, A202, 1
A14, 15.0, A32, A44, 1262.0, A63, A74, 4, A93, A101, 3.0, A122, 36.0, A143, A152, 2.0, A173, 1, A192, A201, 1
A14, 12.0, A32, A42, 763.0, A61, A73, 4, A92, A101, 1.0, A121, 26.0, A143, A152, 1.0, A173, 1, A192, A201, 1
A14, 6.0, A32, A43, 2108.0, A61, A74, 2, A94, A101, 2.0, A121, 29.0, A143, A151, 1.0, A173, 1, A191, A201, 1
A11, 24.0, A32, A49, 6568.0, A61, A73, 2, A94, A101, 2.0, A123, 21.0, A142, A152, 1.0, A172, 1, A191, A201, 1
A14, 36.0, A34, A43, 3342.0, A65, A75, 4, A93, A101, 2.0, A123, 51.0, A143, A152, 1.0, A173, 1, A192, A201, 1
A11, 12.0, A32, A46, 1200.0, A65, A73, 4, A92, A101, 4.0, A122, 23.0, A141, A151, 1.0, A173, 1, A192, A201, 1
A13, 36.0, A32, A43, 4210.0, A61, A73, 4, A93, A101, 2.0, A123, 26.0, A143, A152, 1.0, A173, 1, A191, A201, 2
A12, 21.0, A32, A49, 2767.0, A62, A75, 4, A91, A101, 2.0, A123, 61.0, A141, A151, 2.0, A172, 1, A191, A201, 2
A14, 12.0, A31, A48, 3447.0, A63, A73, 4, A92, A101, 3.0, A121, 35.0, A143, A152, 1.0, A172, 2, A191, A201, 1
A14, 11.0, A34, A43, 1154.0, A62, A71, 4, A92, A101, 4.0, A121, 57.0, A143, A152, 3.0, A172, 1, A191, A201, 1
